CSDUID,pop2016,instability_CSDUID,deprivation_CSDUID,dependency_CSDUID,ethniccon_CSDUID,instability_q_CSDUID,deprivation_q_CSDUID,dependency_q_CSDUID,ethniccon_q_CSDUID
3514004,11844,-0.249737057,-0.168083192,1.337109714,-0.770275196,3,3,5,4
3514014,6355,-0.333716162,0.023651641,0.37742414,-0.819739957,3,3,3,3
3514019,10942,-0.579794937,-0.535075358,0.218580986,-0.83147346,2,1,2,3
3514020,16753,0.038718715,-0.123921613,0.629282743,-0.838403156,5,3,4,3
3514021,19440,0.328247569,0.038790506,1.283280819,-0.766542703,5,3,5,4
3514024,6869,-0.585385223,-0.388363408,0.15526674,-0.824169271,1,2,2,3
3514027,495,,,,,,,,
3514045,12900,-0.164216625,0.195748751,1.153522827,-0.91946309,4,4,5,2
3515003,4109,-0.315028559,0.131690677,0.382869901,-0.918438003,3,3,3,2
3515005,6670,-0.511970692,-0.556444406,0.315551502,-0.82910995,2,1,3,3
3515008,362,,,,,,,,
3515013,8829,-0.566356872,-0.524483393,0.108367508,-0.66545856,2,1,2,4
3515014,81032,0.494201681,0.327107631,0.437411877,-0.440279804,5,4,3,5
3515015,17060,-0.419076591,-0.55087231,0.726536182,-0.840173403,2,1,4,3
3515019,1059,,,,,,,,
3515023,6709,-0.666998115,-0.476573193,0.308882468,-0.851913702,1,2,3,3
3515030,4530,-0.341976554,0.422530668,1.503198344,-0.930782624,3,4,5,2
3515037,2479,-0.158938292,0.024764838,1.287135418,-1.108072689,4,3,5,1
3515044,5397,-0.304107746,-0.423905906,1.414200595,-1.135634292,3,2,5,1
3516010,75423,-0.207432632,-0.010889481,0.854389235,-0.832207452,4,3,4,3
3518001,91771,-0.45367736,-0.333255518,-0.36081864,0.45662538,2,2,1,5
3518005,119677,-0.641733158,-0.201928365,-0.719518138,0.952812309,1,2,1,5
3518009,128377,-0.563526736,-0.474539315,-0.560088328,0.170332115,2,2,1,5
3518013,159458,0.092468233,0.460431521,-0.09961262,-0.132418048,5,4,2,5
3518017,92013,-0.509594961,-0.453309603,-0.407021912,-0.373535041,2,2,1,5
3518020,21617,-0.403417721,-0.528485424,0.208993972,-0.722011129,2,1,2,4
3518022,131,,,,,,,,
3518029,21176,-0.442199826,-0.666049575,-0.227678578,-0.558151576,2,1,1,5
3518039,11642,-0.264016567,-0.024870683,0.173790931,-0.789700121,3,3,2,4
3519028,306233,-0.758700223,-0.552664908,-0.410224871,0.605768663,1,1,1,5
3519036,328966,-0.576568311,-0.301427485,-0.165676816,1.574300657,2,2,2,5
3519038,195022,-0.377693011,-0.524645594,-0.337325439,1.337178772,3,1,1,5
3519044,45837,-0.622774434,-0.83802231,-0.267574348,0.300995896,1,1,1,5
3519046,55445,-0.399079433,-0.702744883,-0.619893286,0.306063741,3,1,1,5
3519048,84224,-0.329733499,-0.374898256,-0.566246422,0.276328041,3,2,1,5
3519049,24512,-0.58898801,-0.876812041,-0.4544915,-0.236064469,1,1,1,5
3519054,23991,-0.618014708,-0.664364268,-0.44158469,-0.301870079,1,1,1,5
3519070,45418,-0.298762047,-0.060752608,-0.346183851,-0.466842181,3,3,1,5
3519076,261,,,,,,,,
3520005,2731571,0.778833877,0.255149165,-0.237355568,1.043759598,5,4,1,5
3521005,721599,-0.143145983,-0.124502433,-0.36536137,1.313114657,4,3,1,5
3521010,593638,-0.662048695,0.067875823,-0.667022169,1.737660364,1,3,1,5
3521024,66502,-0.799470559,-0.635407756,-0.628019267,-0.063440746,1,1,1,5
3522001,2579,-0.847007465,-0.825375597,-0.454186478,-0.466720443,1,1,1,5
3522008,4079,-0.844915341,-0.494875684,-0.52803961,-0.511906484,1,1,1,5
3522010,2956,-0.268076157,-0.185207278,-0.633697503,-0.567324133,3,2,1,5
3522012,8609,-0.669703671,-0.875650872,-0.269277114,-0.468841565,1,1,1,5
3522014,28900,-0.218518687,-0.288583758,-0.605697018,-0.307105803,3,2,1,5
3522016,3478,-0.459997627,-0.70960582,-0.180582857,-0.80083542,2,1,2,4
3522019,3008,-0.610608928,-0.101949554,-0.421428412,-0.506268949,1,3,1,5
3522021,8126,-0.226595345,-0.131128075,-0.539178408,-0.083601006,3,3,1,5
3523001,7336,-0.584942595,-0.951333879,0.131139379,-0.662136592,1,1,2,4
3523008,131794,0.146510368,-0.38314864,-0.362113864,-0.01272906,5,2,1,5
3523009,12854,-0.688666365,-0.787990895,-0.277553955,-0.623654039,1,1,1,4
3523017,11439,-0.592691721,-0.792110153,-0.461563639,-0.618798606,1,1,1,4
3523025,28191,-0.324280647,-0.699517215,0.103851655,-0.682724597,3,1,2,4
3523033,10527,-1.397419882,0.251948354,-0.750075617,-0.284378141,1,4,1,5
3523043,8671,-0.427078092,-0.131441788,0.231298615,-0.806661286,2,3,2,3
3523050,11914,-0.295069798,0.24721498,0.251859587,-0.780425857,3,4,3,4
3524001,193832,-0.413772319,-0.716168811,-0.502539945,0.630081191,2,1,1,5
3524002,183314,-0.089990023,-0.697753097,-0.08203442,-0.163238093,4,1,2,5
3524009,110128,-0.69239665,-0.816178597,-0.998260396,0.900866629,1,1,1,5
3524015,61161,-0.58705807,-0.652439425,-0.636436234,-0.338895804,1,1,1,5
3525005,536917,0.130732899,0.232657784,-0.016554372,-0.009839314,5,4,2,5
3526003,30710,-0.019008043,0.255687098,0.665346801,-0.748835304,5,4,4,4
3526011,18306,0.08656887,0.448539552,0.823455627,-0.849951866,5,4,4,3
3526014,6372,-0.676416443,-0.421429099,0.178033632,-0.839261357,1,2,2,3
3526021,14500,-0.771739965,-0.40091764,-0.320280345,-0.665725096,1,2,1,4
3526028,17110,-0.458058288,-0.820735397,0.556395211,-0.674099387,2,1,3,4
3526032,52293,0.219878043,0.480512462,0.477259624,-0.551083871,5,4,3,5
3526037,18801,0.077854065,0.152719495,-0.126574472,-0.328939183,5,3,2,5
3526043,88071,0.117419261,0.312320428,0.251035922,-0.331723546,5,4,3,5
3526047,17511,-0.203682382,-0.856969757,1.14079742,-0.626243544,4,1,5,4
3526053,133113,0.370950374,0.234594482,0.398394191,-0.326742098,5,4,3,5
3526057,23787,-0.427948715,-0.691893177,0.298318807,-0.608225303,2,1,3,5
3526065,27314,-0.381213541,-0.703271455,0.061697891,-0.556432068,3,1,2,5
3528018,45608,-0.452786787,-0.157471808,0.090833185,-0.756067689,2,3,2,4
3528035,135,,,,,,,,
3528037,,,,,,,,,
3528052,64044,-0.296488952,0.153757806,0.580517041,-0.783111467,3,4,4,4
3529005,36707,-0.575146612,-0.564253743,0.013185528,-0.695633877,2,1,2,4
3529006,97496,0.06336428,0.405087045,-0.038036304,-0.377094969,5,4,2,5
3529020,,,,,,,,,
3529021,605,,,,,,,,
3530004,10215,-0.754921587,-0.809966399,-0.477807296,-0.56364284,1,1,1,5
3530010,129920,-0.19802195,-0.002429021,-0.407015966,-0.176180023,4,3,1,5
3530013,233222,0.196314582,-0.089719351,-0.433959262,0.113127015,5,3,1,5
3530016,104986,0.137121692,-0.508575637,-0.366691112,0.321944857,5,1,1,5
3530020,20545,-0.650292034,-0.838036755,-0.002787932,-0.58388768,1,1,2,5
3530027,11260,-1.460197047,0.252657897,-0.625503837,-0.293568886,1,4,1,5
3530035,25006,-0.753398755,-0.557891857,-0.313842314,-0.472171775,1,1,1,5
3531011,31465,0.345798406,-0.150250793,0.124630833,-0.683488026,5,3,2,4
3531013,3810,-0.720068167,-0.72518032,-0.394010948,-0.829313979,1,1,1,3
3531016,7265,-0.072617253,-0.550165619,0.325371886,-0.837939416,4,1,3,3
3531025,8865,-0.490337632,-0.509523249,-0.268878906,-0.75146967,2,1,1,4
3531030,12261,-1.038849647,0.055033519,-0.500271541,-0.516671936,1,3,1,5
3531040,13130,-0.342644047,-0.181569331,-0.133563845,-0.748445583,3,2,2,4
3532002,11001,-0.857086696,-0.182619957,-0.446726183,-0.525394296,1,2,1,5
3532004,15872,0.141379938,0.181502075,1.017431521,-0.811517939,5,4,4,3
3532012,7664,-0.851035675,-0.263597583,-0.415161423,-0.72350167,1,2,1,4
3532018,12757,-0.176288441,-0.074673903,-0.304384489,-0.754214684,4,3,1,4
3532027,8138,-0.584319463,-0.683036695,-0.236312513,-0.821581019,1,1,1,3
3532038,7129,-0.417258551,-0.552328362,-0.048348837,-0.890201857,2,1,2,3
3532042,40902,0.170897835,-0.040739951,0.037081506,-0.607156292,5,3,2,5
3532045,7399,-0.604346163,-0.766059213,-0.331548172,-0.73559009,1,1,1,4
3534005,7396,-1.143891059,1.197548117,-0.159696222,-0.248497344,1,5,2,5
3534010,9292,-1.105839038,0.584972755,-0.451194466,-0.346179466,1,5,1,5
3534011,7492,-0.15930915,0.771759011,0.299394707,-0.432744398,4,5,3,5
3534020,12607,-0.562940889,-0.651469443,0.155226797,-0.792908973,2,1,2,4
3534021,38909,0.182479622,0.317577842,0.181134916,-0.609307317,5,4,2,5
3534024,4421,-0.677804112,-0.657676297,-0.024626646,-0.769609801,1,1,2,4
3534030,3866,-0.415224703,-0.235679626,0.069074474,-0.885769638,2,2,2,3
3534042,4995,-0.286137619,0.397976527,0.485927837,-1.017724428,3,4,3,2
3536020,101647,-0.064938882,0.422819161,0.471897155,-0.706371944,4,4,3,4
3536029,395,,,,,,,,
3537001,235,,,,,,,,
3537003,27595,-0.338006929,0.776654779,0.344363711,-0.296680499,3,5,3,5
3537013,21552,-0.517594061,-0.240331797,0.264552969,-0.704001743,2,2,3,4
3537016,20427,-0.259002961,-0.144327214,0.26528174,-0.84147924,3,3,3,3
3537028,21936,-0.394414987,-0.468725678,0.085824722,-0.632327019,3,2,2,4
3537034,30180,-0.648959701,-0.72494315,-0.237709846,-0.284035368,1,1,1,5
3537039,217188,0.365828748,0.67786058,0.203915894,0.274880646,5,5,2,5
3537048,23229,-0.430553087,-0.629636451,0.127844294,-0.555142622,2,1,2,5
3537064,36611,-0.733267369,-0.588038839,-0.292138586,-0.547250883,1,1,1,5
3538003,14086,-0.477071101,-0.455817141,0.295375918,-0.762795927,2,2,3,4
3538004,1589,,,,,,,,
3538007,1967,-0.731127654,0.100147883,0.139055558,-0.796697097,1,3,2,4
3538015,2411,-0.385859063,-0.01769438,-0.053753015,-0.870142075,3,3,2,3
3538016,2796,-0.444903081,-0.603225783,0.399717553,-0.865561625,2,1,3,3
3538018,648,-0.469129594,-0.433796978,0.087997933,-1.147169813,2,2,2,1
3538019,5742,-0.196389528,-0.142367041,0.320505715,-0.771580738,4,3,3,4
3538025,639,,,,,,,,
3538030,71594,0.273841197,0.154393876,0.476540254,-0.570633544,5,4,3,5
3538031,2037,0.16565911,-0.287153673,0.862569543,-0.919323168,5,2,4,2
3538035,7795,-0.581250149,-0.819344469,0.25973448,-0.743812982,2,1,3,4
3538040,10631,-0.118738772,-0.413822233,1.261279015,-1.051828703,4,2,5,2
3538043,3692,-0.521873637,-0.170083645,-0.011731858,-0.758171347,2,2,2,4
3538056,1011,,,,,,,,
3539002,466,-0.274008894,1.909712793,0.334860372,-0.810727951,3,5,3,3
