"CSDUID","Deprivation","EthnicCon","Name","under20","20s","30s","40s","50s","60s","70s","over80","DeprivationModifier","EthnicModifier"
3501005,2,2,"South Glengarry (TP)",0.000897170577474348,0.000673199829569663,0.00067641687277775,0.000874045833298649,0.00119967616103628,0.0014444092492873,0.001365377083424,0.000955449018762313,0.00546212244529098,0.169346756980225
3501011,2,3,"South Stormont (TP)",0.000945531073286162,0.000701604885669649,0.000832286847809145,0.000923991309487143,0.00115060965138245,0.00126069052898321,0.00117498585665173,0.000913172513507343,0.00546212244529098,0.242733923355498
3501012,5,5,"Cornwall (CY)",0.00321513916983372,0.00318420678880841,0.00286153746614239,0.00275255068772146,0.00355241529893771,0.00428571428571429,0.00474890117063406,0.00532683966212617,0.928687915673553,0.0581201710039534
3501020,4,2,"South Dundas (MU)",0.000718737023961792,0.000570941627609715,0.000579365756248768,0.000707560912670335,0.000927357032457496,0.00111815014254039,0.00130553984072414,0.000938538416660325,0.0509556829395033,0.169346756980225
3501030,2,3,"North Dundas (TP)",0.000833801651927833,0.000695923874449652,0.000749940445905766,0.000768605383567383,0.000991143495007483,0.000937598986379474,0.000930197136515949,0.000921627814558337,0.00546212244529098,0.242733923355498
3501042,2,2,"North Stormont (TP)",0.000553644296880081,0.000482885953699759,0.000461728039243942,0.000513328505270635,0.000601064743259488,0.000519480519480519,0.000429740197571696,0.000372033246243733,0.00546212244529098,0.169346756980225
3501050,4,2,"North Glengarry (TP)",0.000648697685199854,0.000522653032239739,0.000520546897746355,0.000679813425898949,0.000907730428595962,0.0010072853975293,0.00111514861395187,0.00113301034083319,0.0509556829395033,0.169346756980225
3502001,3,1,"East Hawkesbury (TP)",0.000210118016285814,0.000184632864649908,0.00017939751843236,0.000216430396816808,0.000333652265646083,0.000338929363319607,0.000310065712171983,0.000245203730478824,0.0134241486659534,0.132321125759746
3502008,5,4,"Hawkesbury (T)",0.000586996362957194,0.000545377077119727,0.000517605954821235,0.000629867949710455,0.000858663918942126,0.00114349065568578,0.00128378084337874,0.00136130346921002,0.928687915673553,0.397478022900578
3502010,2,2,"Champlain (TP)",0.000541971073753091,0.000414713819059793,0.000458787096318822,0.000607669960293346,0.000812050734770982,0.000924928729806779,0.000995474128552156,0.000727155890385477,0.00546212244529098,0.169346756980225
3502023,2,3,"Alfred and Plantagenet (TP)",0.000643694875288287,0.000661837807129669,0.000614657071350216,0.000640966944419009,0.000870930546355585,0.00087741526765917,0.000902998389834196,0.000676424084079514,0.00546212244529098,0.242733923355498
3502025,1,3,"The Nation (M)",0.00104391966821365,0.000928845334469536,0.00105285756719319,0.000960063042289945,0.00105002330659209,0.000861577446943301,0.000728926411070978,0.000574960471467587,0.00147013027569939,0.242733923355498
3502036,2,4,"Clarence-Rockland (C)",0.00193441983247257,0.00151682999573924,0.00177927046969799,0.00188960384913136,0.00204852677804764,0.0019543870763383,0.00175703903564124,0.00123447395344511,0.00546212244529098,0.397478022900578
